系统名称,交换机型号,IP地址,提取时间,是否刷入802.1x,ip route-static
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.70,2025-12-04 17:40:25,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.71,2025-12-04 17:40:25,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735-L8P4S-A1,S5735-L8P4S-A1,10.3.1.149,2025-12-04 17:46:23,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
Unknown,Unknown,10.3.1.30,2025-12-04 17:37:31,未刷入,未查询到
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.63,2025-12-04 17:39:52,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.62,2025-12-04 17:39:53,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.65,2025-12-04 17:40:07,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.64,2025-12-04 17:39:58,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.147,2025-12-04 17:19:02,未刷入,未查询到
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.147,2025-12-04 17:29:05,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5735S-L12P4S-A,S5735S-L12P4S-A,10.3.1.147,2025-12-04 17:46:08,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.69,2025-12-04 17:40:21,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.68,2025-12-04 17:40:15,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.67,2025-12-04 17:40:16,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-36C-PWR-EI,S5720-36C-PWR-EI,10.3.1.66,2025-12-04 17:40:07,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720-28X-LI,S5720-28X-LI,10.3.1.102,2025-12-04 17:43:10,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-28P-PWR-LI,S5720S-28P-PWR-LI,10.3.1.103,2025-12-04 17:43:16,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-52X-LI,S5720S-52X-LI,10.3.1.101,2025-12-04 17:43:09,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-52X-LI,S5720S-52X-LI,10.3.1.104,2025-12-04 17:43:15,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S5720S-52X-LI,S5720S-52X-LI,10.3.1.105,2025-12-04 17:43:21,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.1.25,2025-12-04 17:37:21,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.1.21,2025-12-04 17:37:06,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.1.28,2025-12-04 17:37:34,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
S6730-S24X6Q,S6730-S24X6Q,10.3.1.26,2025-12-04 17:37:22,未刷入,ip route-static 0.0.0.0 0.0.0.0 10.3.1.254
